Epoch 097 | Train Loss: 0.126265 | Val Loss: 0.123592
Epoch 098 | Train Loss: 0.125599 | Val Loss: 0.126278
Epoch 099 | Train Loss: 0.124962 | Val Loss: 0.126373
Epoch 100 | Train Loss: 0.123946 | Val Loss: 0.123607
Epoch 101 | Train Loss: 0.123904 | Val Loss: 0.132695
Epoch 102 | Train Loss: 0.122500 | Val Loss: 0.121621
Epoch 103 | Train Loss: 0.122958 | Val Loss: 0.123417
Epoch 104 | Train Loss: 0.122858 | Val Loss: 0.124345
Epoch 105 | Train Loss: 0.121623 | Val Loss: 0.122030
Epoch 106 | Train Loss: 0.120986 | Val Loss: 0.124186
Epoch 107 | Train Loss: 0.119868 | Val Loss: 0.123893
Epoch 108 | Train Loss: 0.119915 | Val Loss: 0.120800
Epoch 109 | Train Loss: 0.119166 | Val Loss: 0.125874
Epoch 110 | Train Loss: 0.119178 | Val Loss: 0.120825
Epoch 111 | Train Loss: 0.117988 | Val Loss: 0.116245
Epoch 112 | Train Loss: 0.117900 | Val Loss: 0.115601
Epoch 113 | Train Loss: 0.117444 | Val Loss: 0.117798
Epoch 114 | Train Loss: 0.117388 | Val Loss: 0.114555
Epoch 115 | Train Loss: 0.115829 | Val Loss: 0.122587
Epoch 116 | Train Loss: 0.115837 | Val Loss: 0.115785
Epoch 117 | Train Loss: 0.116219 | Val Loss: 0.112835
Epoch 118 | Train Loss: 0.115121 | Val Loss: 0.120009
Epoch 119 | Train Loss: 0.114405 | Val Loss: 0.122174
Epoch 120 | Train Loss: 0.113422 | Val Loss: 0.117113
Epoch 121 | Train Loss: 0.114303 | Val Loss: 0.117981
Epoch 122 | Train Loss: 0.113624 | Val Loss: 0.112856
Epoch 123 | Train Loss: 0.112572 | Val Loss: 0.111706
Epoch 124 | Train Loss: 0.112696 | Val Loss: 0.114727
Epoch 125 | Train Loss: 0.111278 | Val Loss: 0.114189
Epoch 126 | Train Loss: 0.112394 | Val Loss: 0.108673
Epoch 127 | Train Loss: 0.110681 | Val Loss: 0.110168
Epoch 128 | Train Loss: 0.112051 | Val Loss: 0.111389
Epoch 129 | Train Loss: 0.110247 | Val Loss: 0.107894
Epoch 130 | Train Loss: 0.110306 | Val Loss: 0.112308
Epoch 131 | Train Loss: 0.109786 | Val Loss: 0.108034
Epoch 132 | Train Loss: 0.109719 | Val Loss: 0.108721
Epoch 133 | Train Loss: 0.108411 | Val Loss: 0.106163
Epoch 134 | Train Loss: 0.107852 | Val Loss: 0.119075
Epoch 135 | Train Loss: 0.109114 | Val Loss: 0.106089
Epoch 136 | Train Loss: 0.108377 | Val Loss: 0.106730
Epoch 137 | Train Loss: 0.107009 | Val Loss: 0.114127
Epoch 138 | Train Loss: 0.107550 | Val Loss: 0.106558
Epoch 139 | Train Loss: 0.106881 | Val Loss: 0.109686
Epoch 140 | Train Loss: 0.106455 | Val Loss: 0.108039
Epoch 141 | Train Loss: 0.105835 | Val Loss: 0.104863
Epoch 142 | Train Loss: 0.105687 | Val Loss: 0.104272
Epoch 143 | Train Loss: 0.105229 | Val Loss: 0.105122
Epoch 144 | Train Loss: 0.104772 | Val Loss: 0.105454
Epoch 145 | Train Loss: 0.104803 | Val Loss: 0.111875
Epoch 146 | Train Loss: 0.104405 | Val Loss: 0.105997
Epoch 147 | Train Loss: 0.104442 | Val Loss: 0.108683
Epoch 148 | Train Loss: 0.103839 | Val Loss: 0.104236
Epoch 149 | Train Loss: 0.103258 | Val Loss: 0.107042
Epoch 150 | Train Loss: 0.102702 | Val Loss: 0.103013
Epoch 151 | Train Loss: 0.102401 | Val Loss: 0.101420
Epoch 152 | Train Loss: 0.102820 | Val Loss: 0.106260
Epoch 153 | Train Loss: 0.102309 | Val Loss: 0.104779
Epoch 154 | Train Loss: 0.101921 | Val Loss: 0.101630
Epoch 155 | Train Loss: 0.101544 | Val Loss: 0.103404
Epoch 156 | Train Loss: 0.101521 | Val Loss: 0.105555
Epoch 157 | Train Loss: 0.101253 | Val Loss: 0.102247
Epoch 158 | Train Loss: 0.100508 | Val Loss: 0.100429
Epoch 159 | Train Loss: 0.100273 | Val Loss: 0.105210
Epoch 160 | Train Loss: 0.100419 | Val Loss: 0.099752
Epoch 161 | Train Loss: 0.100601 | Val Loss: 0.098159
Epoch 162 | Train Loss: 0.099225 | Val Loss: 0.100811
Epoch 163 | Train Loss: 0.099500 | Val Loss: 0.102018
Epoch 164 | Train Loss: 0.098935 | Val Loss: 0.099118
Epoch 165 | Train Loss: 0.099753 | Val Loss: 0.100667
Epoch 166 | Train Loss: 0.098505 | Val Loss: 0.097885
Epoch 167 | Train Loss: 0.098043 | Val Loss: 0.101416
Epoch 168 | Train Loss: 0.098585 | Val Loss: 0.104450
Epoch 169 | Train Loss: 0.097421 | Val Loss: 0.096983
Epoch 170 | Train Loss: 0.097362 | Val Loss: 0.099473
Epoch 171 | Train Loss: 0.098223 | Val Loss: 0.096268
Epoch 172 | Train Loss: 0.096963 | Val Loss: 0.102661
Epoch 173 | Train Loss: 0.096590 | Val Loss: 0.103222
Epoch 174 | Train Loss: 0.096503 | Val Loss: 0.096595
Epoch 175 | Train Loss: 0.096265 | Val Loss: 0.097569
Epoch 176 | Train Loss: 0.096337 | Val Loss: 0.100799
Epoch 177 | Train Loss: 0.096469 | Val Loss: 0.095491
Epoch 178 | Train Loss: 0.095832 | Val Loss: 0.095953
Epoch 179 | Train Loss: 0.095662 | Val Loss: 0.094848
Epoch 180 | Train Loss: 0.094761 | Val Loss: 0.103156
Epoch 181 | Train Loss: 0.094717 | Val Loss: 0.098150
Epoch 182 | Train Loss: 0.094967 | Val Loss: 0.092987
Epoch 183 | Train Loss: 0.095152 | Val Loss: 0.093897
Epoch 184 | Train Loss: 0.093933 | Val Loss: 0.095047
Epoch 185 | Train Loss: 0.094537 | Val Loss: 0.093841
Epoch 186 | Train Loss: 0.094023 | Val Loss: 0.093035
Epoch 187 | Train Loss: 0.093469 | Val Loss: 0.095573
Epoch 188 | Train Loss: 0.093747 | Val Loss: 0.098352
Epoch 189 | Train Loss: 0.093006 | Val Loss: 0.093096
Epoch 190 | Train Loss: 0.093547 | Val Loss: 0.093687
Epoch 191 | Train Loss: 0.092817 | Val Loss: 0.094825
Epoch 192 | Train Loss: 0.092427 | Val Loss: 0.092868
Epoch 193 | Train Loss: 0.092369 | Val Loss: 0.092681
Epoch 194 | Train Loss: 0.092216 | Val Loss: 0.093554
Epoch 195 | Train Loss: 0.092117 | Val Loss: 0.093658
Epoch 196 | Train Loss: 0.091707 | Val Loss: 0.092937
Epoch 197 | Train Loss: 0.091661 | Val Loss: 0.095102
Epoch 198 | Train Loss: 0.091612 | Val Loss: 0.095040
Epoch 199 | Train Loss: 0.091565 | Val Loss: 0.092666
Epoch 200 | Train Loss: 0.090527 | Val Loss: 0.092319
